"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Game/VFX/Conclusion/Start_Rocket/M_FX_Master_Flip_PerVertNonDir.M_FX_Master_Flip_PerVertNonDir","0","336","23","2","108.180740","0","3705"
"","0","1","0","1","0.000000","5","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","0","72","12","1","14.578473","0","447"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","33","2","1","8.839585","0","132"
"/Game/VFX/Conclusion/Flipbook_Smoke.Flipbook_Smoke","0","24","4","1","7.485356","0","62"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","0","84","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","0","30","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","0","24","10","1","9.421759","0","64"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Game/Enemy_/Test_Hit_Material.Test_Hit_Material","0","12","12","1","6.410889","0","22"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","0","0","33","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","30","1","0.000000","0","0"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","42","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","0","112","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","0","42","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","21","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","21","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","0","21","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","0","21","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","21","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","33","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","0","4","2","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","0","2","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","21","1","0.000000","0","0"
"/Game/Map/Models/woodBarkDark.woodBarkDark","0","21","1","1","7.955406","0","53"
"/Game/Map/Models/leafsDark.leafsDark","0","21","2","1","6.149217","0","54"
"/Game/Map/Models/woodBark.woodBark","0","21","3","1","6.703352","0","55"
"/Game/Map/Models/leafsGreen.leafsGreen","0","21","4","1","6.916047","0","56"
"/Game/Map/Models/leafsFall.leafsFall","0","42","6","1","12.203115","0","162"
"/Game/Map/Models/woodBirch.woodBirch","0","21","7","1","7.976965","0","59"
"/Game/Map/Models/_defaultMat._defaultMat","0","21","8","1","8.113988","0","60"
"/Game/Map/Models/colorRedDark.colorRedDark","0","21","9","1","7.637604","0","61"
"/Game/Map/Models/colorRed.colorRed","0","42","1","1","12.209134","0","188"
"/Game/Map/Models/wood.wood","0","21","2","1","7.326635","0","54"
"/Game/Map/Models/stone.stone","0","21","3","1","6.929893","0","55"
"/Game/Map/Models/stoneDark.stoneDark","0","21","4","1","7.703743","0","56"
"/Game/Map/Models/grass.grass","0","42","6","1","11.386679","0","162"
"/Game/Map/Models/dirt.dirt","0","21","7","1","7.662845","0","59"
"/Game/Map/Models/dirtDark.dirtDark","0","21","8","1","7.394746","0","60"
"/Game/Map/Models/colorYellow.colorYellow","0","42","10","1","11.925266","0","174"
"/Game/Map/Models/colorWhite.colorWhite","0","24","4","1","6.091623","0","62"
"/Game/Map/Models/colorPurple.colorPurple","0","24","24","1","6.495945","0","32"
"/Game/Map/Models/woodDark.woodDark","0","21","9","1","6.843305","0","61"
"/Game/Map/Sky/space_Mat.space_Mat","0","2","2","1","0.546007","0","3"
"/Game/Map/Models/Light_.Light_","0","21","2","1","7.559876","0","54"
"/Engine/MapTemplates/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","0","21","3","1","8.412442","0","55"
"/Game/ThirdPersonBP/Blueprints/Decals_Mat.Decals_Mat","0","12","12","1","4.285280","0","17"
"/Game/ThirdPerson/Emmisiv.Emmisiv","0","21","6","1","7.143136","0","58"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","0","49","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","0","21","1","0.000000","0","0"
"/Game/Map/Models/woodInner.woodInner","0","12","12","1","3.467709","0","20"
"/Game/Map/Models/water.water","0","12","12","1","3.451121","0","22"
"/Game/Map/Models/colorTan.colorTan","0","12","12","1","3.493743","0","14"
"/Game/Map/Models/corn.corn","0","12","12","1","4.338491","0","20"
"/Game/Mannequin/18bff849f5bd9c50703b3437eae48152_Mat.18bff849f5bd9c50703b3437eae48152_Mat","0","12","12","1","6.413700","0","22"
"/Engine/EngineMaterials/NewBaseFlattenMaterial.NewBaseFlattenMaterial","0","114","13","1","22.656916","0","959"
"/Game/FirstPersonBP/Blueprints/OpacityMaterial.OpacityMaterial","0","28","8","1","8.838129","0","74"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","72","2","1","14.283143","0","469"
